L,n_sweeps,rep,dwd
512,1600,13,0.00000000
512,1600,14,0.00000000
512,1600,15,0.00000000
512,1600,16,0.00000000
512,1600,17,0.00204849
512,1600,18,0.00000000
512,1600,19,0.00000000
512,3200,0,0.00000000
512,3200,1,0.00000000
512,3200,2,0.00202179
512,3200,3,0.00000000
512,3200,4,0.00202942
512,3200,5,0.00203323
512,3200,6,0.00000000
512,3200,7,0.00000000
512,3200,8,0.00203323
512,3200,9,0.00201035
512,3200,10,0.00202179
512,3200,11,0.00203323
512,3200,12,0.00000000
512,3200,13,0.00000000
512,3200,14,0.00000000
512,3200,15,0.00204086
512,3200,16,0.00202560
512,3200,17,0.00205612
512,3200,18,0.00202179
512,3200,19,0.00000000
512,6400,0,0.00000000
512,6400,1,0.00202179
512,6400,2,0.00000000
512,6400,3,0.00391006
512,6400,4,0.00204849
512,6400,5,0.00000000
512,6400,6,0.00000000
512,6400,7,0.00000000
512,6400,8,0.00203705
512,6400,9,0.00202560
512,6400,10,0.00000000
512,6400,11,0.00000000
512,6400,12,0.00000000
512,6400,13,0.00000000
512,6400,14,0.00000000
512,6400,15,0.00000000
512,6400,16,0.00000000
512,6400,17,0.00000000
512,6400,18,0.00000000
512,6400,19,0.00202560
512,12800,0,0.00199890
512,12800,1,0.00000000
512,12800,2,0.00000000
512,12800,3,0.00000000
512,12800,4,0.00000000
512,12800,5,0.00000000
512,12800,6,0.00000000
512,12800,7,0.00202942
512,12800,8,0.00000000
512,12800,9,0.00000000
512,12800,10,0.00000000
512,12800,11,0.00000000
512,12800,12,0.00202942
512,12800,13,0.00202179
512,12800,14,0.00201797
512,12800,15,0.00000000
512,12800,16,0.00000000
512,12800,17,0.00000000
512,12800,18,0.00000000
512,12800,19,0.00203705
512,25600,0,0.00000000
512,25600,1,0.00000000
512,25600,2,0.00202942
512,25600,3,0.00000000
512,25600,4,0.00000000
512,25600,5,0.00202560
512,25600,6,0.00000000
512,25600,7,0.00202942
512,25600,8,0.00000000
512,25600,9,0.00201035
512,25600,10,0.00000000
512,25600,11,0.00000000
512,25600,12,0.00000000
512,25600,13,0.00000000
512,25600,14,0.00000000
512,25600,15,0.00000000
512,25600,16,0.00201797
512,25600,17,0.00000000
512,25600,18,0.00000000
512,25600,19,0.00000000
512,51200,0,0.00000000
512,51200,1,0.00000000
512,51200,2,0.00201797
512,51200,3,0.00203705
512,51200,4,0.00000000
512,51200,5,0.00000000
512,51200,6,0.00000000
512,51200,7,0.00201797
512,51200,8,0.00202179
512,51200,9,0.00202560
512,51200,10,0.00202942
512,51200,11,0.00000000
512,51200,12,0.00000000
512,51200,13,0.00000000
512,51200,14,0.00000000
512,51200,15,0.00000000
512,51200,16,0.00000000
512,51200,17,0.00000000
512,51200,18,0.00000000
512,51200,19,0.00000000
512,102400,0,0.00202942
512,102400,1,0.00000000
512,102400,2,0.00202560
512,102400,3,0.00000000
512,102400,4,0.00000000
512,102400,5,0.00205231
512,102400,6,0.00202179
512,102400,7,0.00203323
512,102400,8,0.00000000
512,102400,9,0.00000000
512,102400,10,0.00000000
512,102400,11,0.00000000
512,102400,12,0.00000000
512,102400,13,0.00000000
512,102400,14,0.00200653
512,102400,15,0.00204086
512,102400,16,0.00204086
512,102400,17,0.00000000
512,102400,18,0.00000000
512,102400,19,0.00203705
512,204800,0,0.00000000
512,204800,1,0.00201035
512,204800,2,0.00000000
512,204800,3,0.00000000
512,204800,4,0.00000000
512,204800,5,0.00000000
512,204800,6,0.00000000
512,204800,7,0.00000000
512,204800,8,0.00000000
512,204800,9,0.00000000
512,204800,10,0.00000000
512,204800,11,0.00000000
512,204800,12,0.00000000
512,204800,13,0.00000000
512,204800,14,0.00000000
512,204800,15,0.00000000
512,204800,16,0.00000000
512,204800,17,0.00000000
512,204800,18,0.00201416
512,204800,19,0.00204086
